composer,date_of_birth,birth_town,birth_country,date_of_death,death_town,death_country,nationality
Johann Klipstein,,,,,,,
Ferber,,,,,,,
Spacig,,,,,,,
Johann Hermann Schein,,,,,,,
John Jenkins,1592.0,Maidstone,,1678.0,"Kimberley, UK",,
M. Tuartnes,,,,,,,
Jean Boyer,,,,,,,
Jean Mercure,,,,,,,
Horatio Scandelli,,,,,,,
Elizabeth von Hessen,,,,,,,
Jacob Schultes,,,,,,,
Giovanni Giacomo Gastoldi,,,,,,,
Giovanni Briccio,,,,,,,
Jacob Handl,,,,,,,
Joachim Decker,,,,,,,
Nicolaus Selneccer,,,,,,,
Hans D. von Mentz,,,,,,,
Le Hugier,,,,,,,
Johann Herwart,,,,,,,
Francesco Corteccia,1502.0,Arezzo,Italy,1571.0,Florence,,Italy
Antonio Rotta,,,,,,,Italy
Thomas Stoltzer,1480.0,Swidnica,Germany,1526.0,Znojmo,,Germany
Johann Walter,1496.0,Kahla,,1570.0,Torgau,,
Paul Hofhaimer,1459.0,Radstadt,Austria,1537.0,Salzburg,,Austria
Bernardo N.,,,,,,,
Johann Götz,,,,,,,
Johann Brengger,,,,,,,
C. Toldius,,,,,,,
Francesco di Parise,,,,,,,
Florentio Maschara,,,,,,,
Giovanni Ferretti,1540.0,Venice,Italy,1609.0,Rome,,Italy
Hofstetter,,,,,,,
Hieronymus Faber,,,,,,,
Sertus Kergel,,,,,,,Russia
Conrad Newsidler,1541.0,,,1604.0,,,Germany
Hieronymo Vicentino,,,,,,,
David Berglin,,,,,,,
Giovanni Pietro,,,,,,,Italy
Johannes Arpinus,1525.0,Naples,Italy,1602.0,Naples,,Italy
John Danyel,1564.0,Wellow,,1626.0,,,England
Esteban Daza,1537.0,Valladolid,Spain,1596.0,Valladolid,,Spain
Petrus Lauremberg,,,,,,,
Gregor Krengel,1550.0,,,1594.0,,,Germany
Richard Martin,1570.0,,England,1618.0,,,England
Dominico Maria Melli,,,,,,,Italy
Moritz von Hessen,1572.0,Kassel,Germany,1632.0,Eschwege,Germany,Germany
Robert Dowland,1591.0,,,1641.0,,,England
Mathias Mason,,,,,,,England
Benedikt de Drusina,1520.0,Drauensee,Poland,1573.0,,,Germany
Orazio de Michi,1595.0,,,1641.0,,,Italy
Johan Lupus,,,,,,,Italy
Jacques Buus,1500.0,Gent,Belgium,1565.0,Vienna,Austria,Belgium
Jacques Arcadelt,1505.0,LiÃ¨ge,Belgium,1568.0,Paris,France,Belgium
Miguel de Fuenllana,1500.0,Madrid,Spain,1579.0,Valladolid,Spain,Spain
Michelagnolo Galilei,,,,,,,
Tobias K?n,,,,,,,
Antonio del Pergamasco,,,,,,,
Georg Schew,,,,,,,
Georg Wesper,,,,,,,Germany
Alessandro Romano,1533.0,Rome,Italy,1592.0,,,Italy
Vincenzo Ruffo,1508.0,Verona,Italy,1587.0,Sacile,Italy,Italy
Domenico Ferrabosco,1513.0,,,1574.0,,,Italy
Giovanni del Cartolaio,,,,,,,
Vincenzo Ferro,,,,,,,Italy
Giovanni Nasco,1510.0,Nivelles,Belgium,1561.0,Treviso,Italy,Belgium
Ippolito Ciera,,,,,,,Italy
Angelo Gardano,1540.0,,,1611.0,,,Italy
Richard Edwards,1523.0,"Somerset, UK",England,1566.0,London,England,England
Richard Farrant,1525.0,,England,1580.0,London,England,England
Nicholas Strogers,1560.0,London,England,1575.0,,,England
James Harding,1550.0,,,1626.0,Isleworth,England,England
Jacques de Belleville,1575.0,Paris,France,1640.0,Paris,,France
Edward Herbert,1583.0,,,1648.0,,,England
du Gast,,,,,,,
Pietreson,,,,,,,
Eustache du Caurroy,1549.0,,France,1609.0,,France,France
Lushier,,,,,,,England
Heart,,,,,,,
Henri de l'Enclos,1592.0,Touraine,France,1649.0,,France,France
Cuthbert Hely,,,,,,,England
William Hollis,,,,,,,
Edward Collard,1595.0,,England,1599.0,,,England
Thomas Smyth,,,,,,,
Thomas Vautor,1600.0,,,1622.0,,,England
Matthew Holmes,,,,,,,
Francisco,,,,,,,
Lodovico Bassano,1558.0,,Italy,1593.0,London,England,Italy
John Taverner,1490.0,"Boston, UK",England,1545.0,"Boston, UK",England,England
John Bull,1562.0,Old Radnor,England,1628.0,Antwerpen,Belgium,England
Derick Gerarde,1540.0,,,1580.0,,,
Valentine Sawyer,,,,,,,
Renaldo Paradiso,,,,,,,
Edward Pierce,,,,,,,
Edward Blankes,1550.0,,,1633.0,,,England
Johannes Lupi,1506.0,Kamerijke,Belgium,1539.0,Cambrai,,Belgium
Augustine Bassano,1530.0,Venice,Italy,1604.0,London,England,Italy
Robert Southwell,1561.0,Norwich,,1595.0,Tyburn,,
Robert Parsons,1596.0,Colyton,England,1676.0,"Exeter, UK",England,England
William Bradbury,,,,,,,
Richard Reade,,,,,,,England
Ellis Lawrey,,,,,,,
Richard Nicholson,1595.0,"Durham, UK",England,1639.0,Oxford,,England
Walter Porter,1587.0,,,1659.0,,,England
Henry Porter,,,,,,,
Daniel Farrant,1607.0,,,1661.0,,,England
Jeremy Chamberlayne,,,,,,,
Thomas Tallis,1505.0,Leicestershire,England,1585.0,Greenwich,England,England
Jo. Singer,,,,,,,
Joseph Shirley,,,,,,,
Andrew Marks,,,,,,,
Henry Lichfield,,,,,,,
Thistlethwaite,,,,,,,
